date,market,rainfall
2020-05-03,mukono,5.9
2020-05-04,mukono,5.6
2020-05-05,mukono,4.8
2020-05-06,mukono,2.0
2020-05-07,mukono,8.7
2020-05-08,mukono,6.6
2020-05-09,mukono,3.1
2020-05-10,mukono,26.3
2020-05-11,mukono,5.3
2020-05-12,mukono,6.0
2020-05-13,mukono,0.5
2020-05-14,mukono,2.3
2020-05-15,mukono,1.7
2020-05-16,mukono,10.9
2020-05-17,mukono,8.0
2020-05-18,mukono,5.0
2020-05-19,mukono,2.7
2020-05-20,mukono,4.9
2020-05-21,mukono,3.3
2020-05-22,mukono,2.7
2020-05-23,mukono,0.3
2020-05-24,mukono,0.2
2020-05-25,mukono,1.0
2020-05-26,mukono,0.3
2020-05-27,mukono,0.1
2020-05-28,mukono,0.5
2020-05-29,mukono,3.5
2020-05-30,mukono,2.4
2020-05-31,mukono,0.1
2020-06-01,mukono,0.2
2020-06-02,mukono,4.4
2020-06-03,mukono,8.4
2020-06-04,mukono,5.2
2020-06-05,mukono,1.8
2020-06-06,mukono,2.5
2020-06-07,mukono,2.0
2020-06-08,mukono,1.4
2020-06-09,mukono,2.2
2020-06-10,mukono,6.2
2020-06-11,mukono,4.7
2020-06-12,mukono,3.8
2020-06-13,mukono,6.1
2020-06-14,mukono,5.3
2020-06-15,mukono,0.6
2020-06-16,mukono,0.6
2020-06-17,mukono,0.0
2020-06-18,mukono,0.1
2020-06-19,mukono,2.2
2020-06-20,mukono,20.1
2020-06-21,mukono,1.2
2020-06-22,mukono,1.7
2020-06-23,mukono,0.7
2020-06-24,mukono,4.8
2020-06-25,mukono,5.0
2020-06-26,mukono,0.2
2020-06-27,mukono,4.1
2020-06-28,mukono,4.1
2020-06-29,mukono,1.3
2020-06-30,mukono,0.2
2020-01-01,bwaise,0.3
2020-01-02,bwaise,0.0
2020-01-03,bwaise,0.0
2020-01-04,bwaise,0.7
2020-01-05,bwaise,0.2
2020-01-06,bwaise,2.0
2020-01-07,bwaise,0.1
2020-01-08,bwaise,6.5
2020-01-09,bwaise,0.7
2020-01-10,bwaise,0.5
2020-01-11,bwaise,0.4
2020-01-12,bwaise,3.5
2020-01-13,bwaise,11.0
2020-01-14,bwaise,0.0
2020-01-15,bwaise,0.0
2020-01-16,bwaise,0.9
2020-01-17,bwaise,4.6
2020-01-18,bwaise,1.2
2020-01-19,bwaise,0.0
2020-01-20,bwaise,0.0
2020-01-21,bwaise,0.0
2020-01-22,bwaise,0.0
2020-01-23,bwaise,0.0
2020-01-24,bwaise,0.0
2020-01-25,bwaise,0.0
2020-01-26,bwaise,6.2
2020-01-27,bwaise,7.5
2020-01-28,bwaise,14.3
2020-01-29,bwaise,6.0
2020-01-30,bwaise,5.0
2020-01-31,bwaise,14.0
2020-02-01,bwaise,0.5
2020-02-02,bwaise,0.0
2020-02-03,bwaise,1.7
2020-02-04,bwaise,6.9
2020-02-05,bwaise,3.7
2020-02-06,bwaise,8.0
2020-02-07,bwaise,0.2
2020-02-08,bwaise,0.0
2020-02-09,bwaise,0.0
2020-02-10,bwaise,0.0
2020-02-11,bwaise,0.0
2020-02-12,bwaise,0.0
2020-02-13,bwaise,0.0
2020-02-14,bwaise,0.9
2020-02-15,bwaise,6.1
2020-02-16,bwaise,5.2
2020-02-17,bwaise,0.3
2020-02-18,bwaise,2.9
2020-02-19,bwaise,2.6
2020-02-20,bwaise,2.6
2020-02-21,bwaise,0.3
2020-02-22,bwaise,1.4
2020-02-23,bwaise,0.5
2020-02-24,bwaise,0.2
2020-02-25,bwaise,1.6
2020-02-26,bwaise,1.9
2020-02-27,bwaise,10.6
2020-02-28,bwaise,11.8
2020-02-29,bwaise,4.1
2020-03-01,bwaise,1.2
2020-03-02,bwaise,7.3
2020-03-03,bwaise,11.7
2020-03-04,bwaise,8.3
2020-03-05,bwaise,3.2
2020-03-06,bwaise,1.6
2020-03-07,bwaise,2.1
2020-03-08,bwaise,4.1
2020-03-09,bwaise,9.2
2020-03-10,bwaise,3.4
2020-03-11,bwaise,1.7
2020-03-12,bwaise,5.5
2020-03-13,bwaise,8.9
2020-03-14,bwaise,1.7
2020-03-15,bwaise,1.7
2020-03-16,bwaise,7.9
2020-03-17,bwaise,3.4
2020-03-18,bwaise,7.9
2020-03-19,bwaise,3.4
2020-03-20,bwaise,1.3
2020-03-21,bwaise,6.2
2020-03-22,bwaise,12.0
2020-03-23,bwaise,1.5
2020-03-24,bwaise,4.2
2020-03-25,bwaise,6.5
2020-03-26,bwaise,3.2
2020-03-27,bwaise,13.5
2020-03-28,bwaise,16.3
2020-03-29,bwaise,8.9
2020-03-30,bwaise,1.9
2020-03-31,bwaise,1.4
2020-04-01,bwaise,0.9
2020-04-02,bwaise,0.2
2020-04-03,bwaise,1.8
2020-04-04,bwaise,5.4
2020-04-05,bwaise,4.2
2020-04-06,bwaise,1.8
2020-04-07,bwaise,2.3
2020-04-08,bwaise,0.5
2020-04-09,bwaise,1.1
2020-04-10,bwaise,4.2
2020-04-11,bwaise,1.9
2020-04-12,bwaise,5.8
2020-04-13,bwaise,8.9
2020-04-14,bwaise,13.9
2020-04-15,bwaise,3.0
2020-04-16,bwaise,0.6
2020-04-17,bwaise,5.9
2020-04-18,bwaise,9.4
2020-04-19,bwaise,7.9
2020-04-20,bwaise,9.8
2020-04-21,bwaise,6.1
2020-04-22,bwaise,9.1
2020-04-23,bwaise,16.6
2020-04-24,bwaise,4.1
2020-04-25,bwaise,0.2
2020-04-26,bwaise,2.4
2020-04-27,bwaise,3.0
2020-04-28,bwaise,11.2
2020-04-29,bwaise,6.8
2020-04-30,bwaise,7.8
2020-05-01,bwaise,3.2
2020-05-02,bwaise,23.5
2020-05-03,bwaise,5.0
2020-05-04,bwaise,3.6
2020-05-05,bwaise,1.2
2020-05-06,bwaise,3.2
2020-05-07,bwaise,4.9
2020-05-08,bwaise,12.9
2020-05-09,bwaise,6.4
2020-05-10,bwaise,17.4
2020-05-11,bwaise,6.9
2020-05-12,bwaise,2.9
2020-05-13,bwaise,1.3
2020-05-14,bwaise,2.8
2020-05-15,bwaise,1.0
2020-05-16,bwaise,6.2
2020-05-17,bwaise,4.5
2020-05-18,bwaise,2.8
2020-05-19,bwaise,1.8
2020-05-20,bwaise,3.3
2020-05-21,bwaise,3.5
2020-05-22,bwaise,1.1
2020-05-23,bwaise,0.1
2020-05-24,bwaise,0.2
2020-05-25,bwaise,2.0
2020-05-26,bwaise,0.4
2020-05-27,bwaise,0.3
2020-05-28,bwaise,0.5
2020-05-29,bwaise,4.9
2020-05-30,bwaise,3.2
2020-05-31,bwaise,0.6
2020-06-01,bwaise,0.3
2020-06-02,bwaise,1.1
2020-06-03,bwaise,5.9
2020-06-04,bwaise,6.3
2020-06-05,bwaise,0.6
2020-06-06,bwaise,1.5
2020-06-07,bwaise,4.9
2020-06-08,bwaise,0.5
2020-06-09,bwaise,4.1
2020-06-10,bwaise,12.9
2020-06-11,bwaise,6.6
2020-06-12,bwaise,2.5
2020-06-13,bwaise,5.0
2020-06-14,bwaise,5.7
2020-06-15,bwaise,1.1
2020-06-16,bwaise,0.5
2020-06-17,bwaise,0.4
2020-06-18,bwaise,0.5
2020-06-19,bwaise,4.4
2020-06-20,bwaise,3.7
2020-06-21,bwaise,0.7
2020-06-22,bwaise,0.6
2020-06-23,bwaise,0.4
2020-06-24,bwaise,6.7
2020-06-25,bwaise,2.5
2020-06-26,bwaise,0.2
2020-06-27,bwaise,4.7
2020-06-28,bwaise,2.2
2020-06-29,bwaise,0.9
2020-06-30,bwaise,0.0
2020-01-01,nakasero,1.3
2020-01-02,nakasero,0.1
2020-01-03,nakasero,0.3
2020-01-04,nakasero,0.3
2020-01-05,nakasero,0.2
2020-01-06,nakasero,2.1
2020-01-07,nakasero,0.5
2020-01-08,nakasero,9.0
2020-01-09,nakasero,0.7
2020-01-10,nakasero,1.1
2020-01-11,nakasero,0.6
2020-01-12,nakasero,3.5
2020-01-13,nakasero,8.2
2020-01-14,nakasero,0.0
2020-01-15,nakasero,0.1
2020-01-16,nakasero,2.7
2020-01-17,nakasero,6.0
2020-01-18,nakasero,2.0
2020-01-19,nakasero,0.0
2020-01-20,nakasero,0.0
2020-01-21,nakasero,0.0
2020-01-22,nakasero,0.0
2020-01-23,nakasero,0.0
2020-01-24,nakasero,0.0
2020-01-25,nakasero,0.0
2020-01-26,nakasero,6.8
2020-01-27,nakasero,6.8
2020-01-28,nakasero,15.9
2020-01-29,nakasero,6.0
2020-01-30,nakasero,14.9
2020-01-31,nakasero,14.1
2020-02-01,nakasero,1.1
2020-02-02,nakasero,0.0
2020-02-03,nakasero,1.7
2020-02-04,nakasero,18.1
2020-02-05,nakasero,6.9
2020-02-06,nakasero,5.4
2020-02-07,nakasero,0.2
2020-02-08,nakasero,0.1
2020-02-09,nakasero,0.0
2020-02-10,nakasero,0.0
2020-02-11,nakasero,0.0
2020-02-12,nakasero,0.0
2020-02-13,nakasero,0.0
2020-02-14,nakasero,0.6
2020-02-15,nakasero,9.0
2020-02-16,nakasero,3.2
2020-02-17,nakasero,0.0
2020-02-18,nakasero,2.6
2020-02-19,nakasero,0.6
2020-02-20,nakasero,7.1
2020-02-21,nakasero,0.5
2020-02-22,nakasero,3.1
2020-02-23,nakasero,0.6
2020-02-24,nakasero,0.8
2020-02-25,nakasero,4.6
2020-02-26,nakasero,2.9
2020-02-27,nakasero,4.6
2020-02-28,nakasero,9.9
2020-02-29,nakasero,5.8
2020-03-01,nakasero,0.6
2020-03-02,nakasero,3.0
2020-03-03,nakasero,8.5
2020-03-04,nakasero,16.5
2020-03-05,nakasero,1.7
2020-03-06,nakasero,1.9
2020-03-07,nakasero,2.1
2020-03-08,nakasero,2.5
2020-03-09,nakasero,13.3
2020-03-10,nakasero,7.5
2020-03-11,nakasero,11.3
2020-03-12,nakasero,3.9
2020-03-13,nakasero,12.3
2020-03-14,nakasero,1.8
2020-03-15,nakasero,2.5
2020-03-16,nakasero,12.8
2020-03-17,nakasero,3.1
2020-03-18,nakasero,9.9
2020-03-19,nakasero,4.8
2020-03-20,nakasero,1.2
2020-03-21,nakasero,9.0
2020-03-22,nakasero,14.9
2020-03-23,nakasero,6.2
2020-03-24,nakasero,4.0
2020-03-25,nakasero,3.9
2020-03-26,nakasero,3.6
2020-03-27,nakasero,15.8
2020-03-28,nakasero,18.6
2020-03-29,nakasero,4.5
2020-03-30,nakasero,0.4
2020-03-31,nakasero,0.9
2020-04-01,nakasero,0.8
2020-04-02,nakasero,1.4
2020-04-03,nakasero,1.4
2020-04-04,nakasero,4.3
2020-04-05,nakasero,2.9
2020-04-06,nakasero,1.8
2020-04-07,nakasero,1.1
2020-04-08,nakasero,0.3
2020-04-09,nakasero,1.2
2020-04-10,nakasero,8.0
2020-04-11,nakasero,1.9
2020-04-12,nakasero,17.0
2020-04-13,nakasero,16.2
2020-04-14,nakasero,22.0
2020-04-15,nakasero,2.7
2020-04-16,nakasero,1.7
2020-04-17,nakasero,13.1
2020-04-18,nakasero,8.1
2020-04-19,nakasero,10.2
2020-04-20,nakasero,14.3
2020-04-21,nakasero,6.1
2020-04-22,nakasero,14.3
2020-04-23,nakasero,20.4
2020-04-24,nakasero,2.1
2020-04-25,nakasero,0.8
2020-04-26,nakasero,3.4
2020-04-27,nakasero,3.4
2020-04-28,nakasero,10.0
2020-04-29,nakasero,9.6
2020-04-30,nakasero,5.0
2020-05-01,nakasero,6.9
2020-05-02,nakasero,27.3
2020-05-03,nakasero,4.6
2020-05-04,nakasero,1.0
2020-05-05,nakasero,1.2
2020-05-06,nakasero,5.7
2020-05-07,nakasero,13.5
2020-05-08,nakasero,11.0
2020-05-09,nakasero,13.7
2020-05-10,nakasero,34.8
2020-05-11,nakasero,6.9
2020-05-12,nakasero,6.0
2020-05-13,nakasero,1.2
2020-05-14,nakasero,2.8
2020-05-15,nakasero,0.6
2020-05-16,nakasero,3.8
2020-05-17,nakasero,2.9
2020-05-18,nakasero,3.8
2020-05-19,nakasero,1.8
2020-05-20,nakasero,2.6
2020-05-21,nakasero,1.0
2020-05-22,nakasero,1.0
2020-05-23,nakasero,0.0
2020-05-24,nakasero,0.2
2020-05-25,nakasero,1.3
2020-05-26,nakasero,0.9
2020-05-27,nakasero,0.5
2020-05-28,nakasero,0.4
2020-05-29,nakasero,6.8
2020-05-30,nakasero,2.1
2020-05-31,nakasero,1.1
2020-06-01,nakasero,0.5
2020-06-02,nakasero,1.9
2020-06-03,nakasero,9.8
2020-06-04,nakasero,10.6
2020-06-05,nakasero,0.6
2020-06-06,nakasero,2.2
2020-06-07,nakasero,1.1
2020-06-08,nakasero,1.6
2020-06-09,nakasero,1.9
2020-06-10,nakasero,16.6
2020-06-11,nakasero,10.5
2020-06-12,nakasero,6.3
2020-06-13,nakasero,8.1
2020-06-14,nakasero,6.8
2020-06-15,nakasero,1.7
2020-06-16,nakasero,0.2
2020-06-17,nakasero,0.3
2020-06-18,nakasero,0.6
2020-06-19,nakasero,2.8
2020-06-20,nakasero,4.8
2020-06-21,nakasero,0.8
2020-06-22,nakasero,0.8
2020-06-23,nakasero,0.7
2020-06-24,nakasero,4.7
2020-06-25,nakasero,6.0
2020-06-26,nakasero,0.1
2020-06-27,nakasero,0.6
2020-06-28,nakasero,0.7
2020-06-29,nakasero,3.3
2020-06-30,nakasero,0.1
2020-01-01,kansanga,0.4
2020-01-02,kansanga,0.0
2020-01-03,kansanga,0.5
2020-01-04,kansanga,0.4
2020-01-05,kansanga,0.0
2020-01-06,kansanga,3.8
2020-01-07,kansanga,0.2
2020-01-08,kansanga,8.7
2020-01-09,kansanga,0.5
2020-01-10,kansanga,5.7
2020-01-11,kansanga,0.4
2020-01-12,kansanga,8.6
2020-01-13,kansanga,1.9
2020-01-14,kansanga,0.0
2020-01-15,kansanga,0.0
2020-01-16,kansanga,0.9
2020-01-17,kansanga,2.1
2020-01-18,kansanga,3.7
2020-01-19,kansanga,0.0
2020-01-20,kansanga,0.0
2020-01-21,kansanga,0.0
2020-01-22,kansanga,0.0
2020-01-23,kansanga,0.0
2020-01-24,kansanga,0.0
2020-01-25,kansanga,0.3
2020-01-26,kansanga,1.6
2020-01-27,kansanga,6.5
2020-01-28,kansanga,13.9
2020-01-29,kansanga,5.7
2020-01-30,kansanga,7.8
2020-01-31,kansanga,16.4
2020-02-01,kansanga,4.2
2020-02-02,kansanga,0.0
2020-02-03,kansanga,1.4
2020-02-04,kansanga,7.2
2020-02-05,kansanga,1.1
2020-02-06,kansanga,8.3
2020-02-07,kansanga,0.4
2020-02-08,kansanga,0.2
2020-02-09,kansanga,0.0
2020-02-10,kansanga,0.0
2020-02-11,kansanga,0.0
2020-02-12,kansanga,0.0
2020-02-13,kansanga,0.1
2020-02-14,kansanga,2.5
2020-02-15,kansanga,9.1
2020-02-16,kansanga,3.9
2020-02-17,kansanga,0.4
2020-02-18,kansanga,10.7
2020-02-19,kansanga,3.0
2020-02-20,kansanga,4.7
2020-02-21,kansanga,1.6
2020-02-22,kansanga,4.0
2020-02-23,kansanga,0.6
2020-02-24,kansanga,5.4
2020-02-25,kansanga,3.4
2020-02-26,kansanga,3.3
2020-02-27,kansanga,5.6
2020-02-28,kansanga,14.6
2020-02-29,kansanga,2.5
2020-03-01,kansanga,2.6
2020-03-02,kansanga,2.9
2020-03-03,kansanga,12.7
2020-03-04,kansanga,11.2
2020-03-05,kansanga,4.7
2020-03-06,kansanga,1.9
2020-03-07,kansanga,1.6
2020-03-08,kansanga,6.3
2020-03-09,kansanga,24.4
2020-03-10,kansanga,1.7
2020-03-11,kansanga,3.7
2020-03-12,kansanga,3.6
2020-03-13,kansanga,15.1
2020-03-14,kansanga,1.1
2020-03-15,kansanga,1.2
2020-03-16,kansanga,11.6
2020-03-17,kansanga,3.7
2020-03-18,kansanga,12.8
2020-03-19,kansanga,3.2
2020-03-20,kansanga,1.6
2020-03-21,kansanga,5.4
2020-03-22,kansanga,19.4
2020-03-23,kansanga,5.8
2020-03-24,kansanga,2.7
2020-03-25,kansanga,10.7
2020-03-26,kansanga,4.8
2020-03-27,kansanga,10.1
2020-03-28,kansanga,12.1
2020-03-29,kansanga,3.1
2020-03-30,kansanga,1.8
2020-03-31,kansanga,1.0
2020-04-01,kansanga,2.2
2020-04-02,kansanga,0.7
2020-04-03,kansanga,3.2
2020-04-04,kansanga,2.8
2020-04-05,kansanga,1.3
2020-04-06,kansanga,3.4
2020-04-07,kansanga,2.5
2020-04-08,kansanga,0.8
2020-04-09,kansanga,1.8
2020-04-10,kansanga,5.6
2020-04-11,kansanga,5.5
2020-04-12,kansanga,11.0
2020-04-13,kansanga,10.5
2020-04-14,kansanga,17.2
2020-04-15,kansanga,4.9
2020-04-16,kansanga,0.4
2020-04-17,kansanga,10.2
2020-04-18,kansanga,9.9
2020-04-19,kansanga,7.0
2020-04-20,kansanga,13.5
2020-04-21,kansanga,3.6
2020-04-22,kansanga,6.7
2020-04-23,kansanga,21.2
2020-04-24,kansanga,2.2
2020-04-25,kansanga,0.1
2020-04-26,kansanga,4.4
2020-04-27,kansanga,5.8
2020-04-28,kansanga,13.7
2020-04-29,kansanga,10.5
2020-04-30,kansanga,8.2
2020-05-01,kansanga,8.4
2020-05-02,kansanga,11.8
2020-05-03,kansanga,2.1
2020-05-04,kansanga,2.4
2020-05-05,kansanga,6.2
2020-05-06,kansanga,5.1
2020-05-07,kansanga,7.6
2020-05-08,kansanga,7.9
2020-05-09,kansanga,5.7
2020-05-10,kansanga,80.3
2020-05-11,kansanga,2.8
2020-05-12,kansanga,5.6
2020-05-13,kansanga,0.5
2020-05-14,kansanga,1.8
2020-05-15,kansanga,2.3
2020-05-16,kansanga,9.0
2020-05-17,kansanga,5.3
2020-05-18,kansanga,5.0
2020-05-19,kansanga,1.7
2020-05-20,kansanga,2.8
2020-05-21,kansanga,5.7
2020-05-22,kansanga,1.5
2020-05-23,kansanga,0.2
2020-05-24,kansanga,0.3
2020-05-25,kansanga,0.6
2020-05-26,kansanga,0.8
2020-05-27,kansanga,1.3
2020-05-28,kansanga,0.1
2020-05-29,kansanga,4.2
2020-05-30,kansanga,3.2
2020-05-31,kansanga,0.7
2020-06-01,kansanga,0.5
2020-06-02,kansanga,2.6
2020-06-03,kansanga,5.6
2020-06-04,kansanga,9.7
2020-06-05,kansanga,0.8
2020-06-06,kansanga,2.4
2020-06-07,kansanga,2.3
2020-06-08,kansanga,0.7
2020-06-09,kansanga,4.4
2020-06-10,kansanga,9.4
2020-06-11,kansanga,11.6
2020-06-12,kansanga,1.9
2020-06-13,kansanga,5.5
2020-06-14,kansanga,6.3
2020-06-15,kansanga,1.5
2020-06-16,kansanga,0.3
2020-06-17,kansanga,0.0
2020-06-18,kansanga,0.9
2020-06-19,kansanga,1.9
2020-06-20,kansanga,8.8
2020-06-21,kansanga,1.5
2020-06-22,kansanga,0.3
2020-06-23,kansanga,0.7
2020-06-24,kansanga,5.3
2020-06-25,kansanga,2.7
2020-06-26,kansanga,0.7
2020-06-27,kansanga,1.7
2020-06-28,kansanga,0.4
2020-06-29,kansanga,2.2
2020-06-30,kansanga,0.0
