id,date,market,commodity,price
188,2020-03-02,mukono,BEANS,1939
189,2020-04-27,none,beans,846
190,2020-02-09,nakasero,BEANS,3921
191,2021-05-09,nakasero,MAIZE,4269
192,2020-02-15,kansanga,maize,3780
193,2020-06-07,nakasero,MAIZE,1877
194,2020-09-28,none,MAIZE,3362
195,2020-11-26,bwaise,MAIZE,2596
196,2021-01-24,mukono,MAIZE,4547
197,2020-10-23,kansanga,beans,3089
198,2020-08-14,nakasero,beans,3383
199,2020-08-19,mukono,maize,2851
200,2021-03-13,mukono,BEANS,836
201,2020-11-29,bwaise,beans,4607
202,2020-02-22,nakasero,maize,1913
203,2020-08-12,none,MAIZE,2817
204,2020-12-13,none,maize,3241
205,2020-12-13,kansanga,beans,1731
206,2020-03-13,nakasero,beans,3710
207,2020-02-13,nakasero,BEANS,3190
208,2021-02-28,none,maize,3968
209,2020-14-50,nakasero,MAIZE,3299
210,2020-04-25,bwaise,MAIZE,1328
211,2021-01-13,none,maize,1573
212,2020-04-02,none,MAIZE,857
213,2020-05-01,kansanga,beans,4177
214,2021-05-09,kansanga,MAIZE,4109
215,2020-07-14,none,BEANS,2135
216,2020-05-08,mukono,BEANS,1340
217,2020-03-04,nakasero,maize,2734
218,2021-03-01,kansanga,maize,2318
219,2021-04-21,mukono,BEANS,4612
220,2020-02-11,nakasero,MAIZE,-2000
221,2020-11-28,nakasero,MAIZE,2850
222,2021-03-01,bwaise,BEANS,543
223,2020-14-50,bwaise,MAIZE,4823
224,2020-05-01,nakasero,maize,-2000
225,2020-08-22,mukono,maize,4594
226,2020-14-50,none,MAIZE,2886
227,2020-05-03,none,BEANS,1201
228,2021-05-03,none,maize,4351
229,2020-07-10,nakasero,maize,1053
230,2020-11-17,mukono,beans,3386
231,2020-03-30,kansanga,BEANS,1604
232,2020-08-22,mukono,beans,2134
233,2020-06-07,none,BEANS,4948
234,2020-11-27,bwaise,beans,891
235,2020-03-04,nakasero,BEANS,4102
236,2021-05-13,bwaise,BEANS,3509
237,2021-02-14,mukono,BEANS,1978
238,2020-02-10,nakasero,beans,3990
239,2020-08-16,mukono,beans,4063
240,2021-04-30,mukono,maize,3827
241,2020-12-13,bwaise,maize,4089
242,2021-02-02,nakasero,beans,765
243,2021-04-30,nakasero,beans,1129
244,2020-07-22,nakasero,beans,1429
245,2020-09-22,kansanga,maize,2632
246,2020-11-09,nakasero,BEANS,1611
247,2021-04-05,kansanga,maize,3118
248,2020-10-08,none,beans,1790
249,2020-11-22,bwaise,beans,1494
250,2020-05-01,kansanga,maize,3522
251,2020-03-07,none,maize,3761
252,2020-09-26,kansanga,BEANS,1104
253,2020-02-07,kansanga,BEANS,3322
254,2020-10-09,none,MAIZE,1557
255,2020-01-29,mukono,MAIZE,1826
256,2020-06-26,none,beans,2552
257,2020-05-20,bwaise,beans,1265
258,2021-04-27,none,MAIZE,3265
259,2021-02-26,mukono,maize,-2000
260,2020-11-29,bwaise,BEANS,748
261,2020-05-28,nakasero,BEANS,3826
262,2020-01-31,bwaise,BEANS,4304
263,2020-06-09,nakasero,beans,1571
264,2020-02-24,nakasero,MAIZE,2691
265,2020-01-26,nakasero,BEANS,3925
266,2020-03-22,nakasero,beans,1805
267,2020-09-12,nakasero,BEANS,-2000
268,2021-05-09,bwaise,MAIZE,898
269,2021-03-27,kansanga,beans,1380
270,2021-01-07,nakasero,BEANS,3781
271,2020-07-04,none,beans,4630
272,2021-02-26,none,maize,1292
273,2020-06-22,none,beans,2130
274,2020-01-21,mukono,maize,3228
275,2020-03-17,none,MAIZE,3109
276,2021-01-13,nakasero,beans,4675
277,2020-06-02,kansanga,maize,1397
278,2021-02-11,mukono,BEANS,2364
279,2020-03-28,none,BEANS,2484
280,2020-02-26,bwaise,maize,3930
281,2020-07-29,none,BEANS,1010
282,2020-10-14,nakasero,BEANS,3070
283,2020-09-29,nakasero,beans,2665
284,2020-05-06,nakasero,beans,2938
285,2020-12-19,kansanga,beans,2740
286,2020-10-05,kansanga,BEANS,1699
287,2020-12-31,mukono,beans,2600
288,2021-02-27,none,beans,2725
289,2020-10-27,bwaise,MAIZE,4850
290,2020-02-21,kansanga,beans,1323
291,2021-05-08,none,MAIZE,4396
292,2021-05-08,nakasero,beans,984
293,2020-10-20,bwaise,maize,1934
294,2021-04-23,mukono,BEANS,2026
295,2021-04-19,nakasero,maize,-2000
296,2020-06-20,nakasero,BEANS,4950
297,2020-03-09,none,BEANS,1422
298,2020-11-27,nakasero,MAIZE,-2000
299,2020-12-11,bwaise,MAIZE,3821
300,2020-02-14,kansanga,maize,1651
301,2020-01-04,nakasero,BEANS,2687
302,2021-01-05,none,maize,3445
303,2020-03-01,kansanga,beans,4616
304,2021-01-29,nakasero,maize,2916
305,2021-05-05,bwaise,BEANS,3560
306,2020-08-29,none,MAIZE,1170
307,2020-07-04,mukono,maize,4986
308,2020-10-01,bwaise,MAIZE,4762
309,2021-01-02,none,BEANS,4680
310,2020-03-08,none,BEANS,972
311,2020-06-06,mukono,BEANS,524
312,2020-01-24,kansanga,beans,4933
313,2020-02-05,kansanga,maize,1974
314,2021-05-15,kansanga,beans,3633
315,2020-07-12,kansanga,maize,4917
316,2020-03-01,bwaise,BEANS,2324
317,2021-05-15,nakasero,BEANS,4960
318,2020-04-27,bwaise,BEANS,2758
319,2021-01-26,mukono,maize,3934
320,2021-03-31,mukono,MAIZE,1326
321,2020-12-10,mukono,MAIZE,3795
322,2021-01-21,mukono,MAIZE,2869
323,2020-10-21,nakasero,beans,1673
324,2020-07-30,nakasero,beans,1934
325,2020-09-10,mukono,beans,3622
326,2020-08-01,kansanga,MAIZE,2006
327,2021-03-10,bwaise,beans,1682
328,2020-10-14,kansanga,BEANS,1598
329,2020-06-18,mukono,BEANS,1257
330,2020-01-27,nakasero,BEANS,823
331,2021-01-24,none,MAIZE,3227
332,2020-04-18,bwaise,maize,4423
333,2020-12-26,bwaise,BEANS,3134
334,2020-09-30,nakasero,beans,4700
335,2021-02-15,kansanga,beans,3536
336,2021-03-18,bwaise,MAIZE,-2000
337,2021-01-03,kansanga,beans,3202
338,2020-05-05,kansanga,beans,4502
339,2020-09-08,kansanga,MAIZE,3385
340,2020-09-07,bwaise,maize,1108
341,2021-01-26,mukono,BEANS,2395
342,2020-04-21,none,BEANS,4458
343,2020-14-50,none,BEANS,-2000
344,2021-05-15,nakasero,maize,4027
345,2020-02-24,mukono,MAIZE,4812
346,2021-02-11,kansanga,maize,3826
347,2020-12-22,bwaise,beans,1160
348,2021-01-23,mukono,maize,3589
349,2020-01-05,bwaise,maize,4054
350,2021-05-15,mukono,maize,4395
351,2020-12-16,nakasero,maize,3076
351,2020-03-14,kansanga,maize,2469
353,2020-12-12,none,beans,1646
354,2020-02-10,none,beans,4080
355,2020-11-05,none,BEANS,3173
356,2020-08-18,kansanga,MAIZE,3575
357,2020-12-04,kansanga,maize,2919
358,2020-02-12,nakasero,MAIZE,1763
359,2020-02-24,mukono,maize,4143
360,2020-03-08,mukono,MAIZE,4697
361,2020-14-50,nakasero,maize,3157
362,2020-14-50,kansanga,BEANS,2488
363,2020-07-13,bwaise,MAIZE,2698
364,2020-08-10,nakasero,BEANS,1130
365,2021-01-04,kansanga,MAIZE,1609
366,2020-06-19,none,BEANS,3199
367,2021-02-25,none,MAIZE,2145
368,2020-07-22,nakasero,beans,4522
369,2020-06-15,kansanga,beans,3718
370,2020-04-12,none,MAIZE,720
371,2020-12-28,bwaise,BEANS,1066
372,2020-07-28,kansanga,MAIZE,2482
373,2020-08-04,kansanga,maize,4425
374,2021-04-17,kansanga,maize,3445
375,2020-10-31,mukono,maize,3408
376,2020-10-15,kansanga,beans,4026
377,2020-04-23,none,MAIZE,3704
378,2020-12-19,none,MAIZE,701
379,2021-04-16,mukono,maize,1660
380,2021-02-05,bwaise,BEANS,1299
381,2020-06-12,mukono,beans,-2000
382,2020-14-50,nakasero,maize,1846
383,2020-09-21,bwaise,MAIZE,3992
384,2020-07-26,bwaise,MAIZE,4040
385,2021-03-28,bwaise,BEANS,3685
385,2020-05-22,mukono,maize,4898
387,2020-08-22,mukono,beans,4509
388,2020-11-01,kansanga,BEANS,3350
389,2020-03-29,nakasero,maize,3065
390,2020-04-03,nakasero,MAIZE,3926
391,2020-08-04,bwaise,BEANS,1919
392,2020-03-12,bwaise,beans,939
393,2020-09-05,bwaise,MAIZE,4640
394,2020-09-08,kansanga,BEANS,1177
395,2020-04-22,nakasero,maize,4904
396,2020-10-16,kansanga,maize,2694
397,2020-07-06,none,maize,4115
398,2020-02-22,bwaise,beans,764
399,2021-02-22,mukono,BEANS,1461
400,2021-02-19,none,beans,4007
401,2020-04-15,bwaise,maize,4860
402,2020-06-14,nakasero,beans,4714
403,2020-02-18,bwaise,BEANS,2771
404,2021-03-19,bwaise,MAIZE,3138
405,2020-12-12,kansanga,BEANS,2701
406,2020-02-08,mukono,BEANS,2779
407,2020-08-20,kansanga,beans,1263
408,2020-12-06,nakasero,maize,3758
409,2020-04-18,kansanga,beans,2823
410,2020-10-16,kansanga,beans,896
411,2021-03-04,kansanga,maize,1794
412,2020-14-50,kansanga,MAIZE,1580
413,2021-03-23,nakasero,maize,2551
414,2020-11-28,bwaise,maize,3002
415,2020-08-07,mukono,maize,-2000
416,2020-04-25,none,BEANS,-2000
417,2021-03-16,kansanga,MAIZE,2375
418,2020-02-22,mukono,beans,2951
419,2021-01-20,bwaise,MAIZE,569
420,2020-06-28,bwaise,MAIZE,4124
421,2020-02-21,bwaise,maize,3645
422,2021-02-09,bwaise,MAIZE,1190
423,2021-01-04,none,beans,719
424,2020-06-03,bwaise,MAIZE,2921
425,2021-02-10,bwaise,BEANS,2474
426,2020-09-27,mukono,beans,1581
427,2020-08-03,nakasero,MAIZE,1097
427,2020-05-14,bwaise,maize,3760
429,2020-09-13,kansanga,BEANS,1175
430,2020-03-19,nakasero,maize,4688
431,2020-03-20,none,beans,1041
432,2021-05-03,bwaise,maize,4059
433,2020-01-29,nakasero,MAIZE,1624
434,2021-05-02,nakasero,beans,1539
435,2021-01-10,mukono,maize,4017
436,2020-12-30,none,maize,4684
437,2020-10-17,bwaise,beans,1342
438,2020-02-29,bwaise,maize,-2000
439,2020-08-29,nakasero,BEANS,1966
440,2020-10-10,kansanga,MAIZE,3909
441,2021-02-26,mukono,beans,931
442,2020-01-24,kansanga,maize,2812
443,2020-02-14,none,BEANS,-2000
444,2020-06-04,none,MAIZE,4541
445,2021-01-10,none,MAIZE,3859
446,2020-11-21,mukono,beans,-2000
447,2021-01-07,nakasero,maize,2451
448,2021-05-12,bwaise,beans,2396
449,2020-12-24,nakasero,BEANS,1195
450,2020-11-22,kansanga,maize,1010
451,2020-05-01,nakasero,beans,3719
452,2020-06-11,kansanga,beans,2160
453,2020-02-25,bwaise,maize,4317
454,2020-07-02,bwaise,BEANS,2670
455,2021-02-17,nakasero,maize,3185
456,2021-05-10,nakasero,BEANS,2948
457,2020-01-16,kansanga,BEANS,2546
458,2021-02-10,bwaise,maize,-2000
459,2020-03-07,bwaise,BEANS,1188
460,2021-02-20,mukono,maize,2119
461,2020-03-06,mukono,beans,4276
462,2020-08-09,kansanga,BEANS,-2000
463,2020-04-19,bwaise,beans,1717
464,2020-05-05,nakasero,BEANS,4424
465,2020-03-11,kansanga,MAIZE,4807
466,2020-10-05,mukono,BEANS,3441
467,2020-06-25,none,beans,1973
468,2020-01-16,nakasero,maize,4364
469,2020-04-29,bwaise,maize,2475
470,2021-04-14,mukono,MAIZE,3681
471,2021-03-08,bwaise,MAIZE,3105
472,2021-04-12,none,maize,3380
473,2020-10-15,bwaise,BEANS,1938
474,2020-04-29,none,MAIZE,-2000
475,2020-11-10,bwaise,MAIZE,1953
476,2020-06-14,mukono,maize,1660
477,2021-03-16,nakasero,maize,3740
478,2020-06-14,bwaise,MAIZE,4078
479,2020-11-28,nakasero,MAIZE,3423
480,2020-03-30,kansanga,beans,2912
481,2021-04-30,none,BEANS,765
482,2021-02-18,none,MAIZE,1352
483,2021-01-16,mukono,MAIZE,3117
484,2020-02-15,nakasero,BEANS,-2000
485,2020-06-28,nakasero,maize,894
486,2021-05-11,bwaise,BEANS,3602
487,2021-02-28,kansanga,MAIZE,1103
488,2020-01-11,nakasero,beans,1107
489,2020-03-23,mukono,maize,4454
490,2020-11-30,bwaise,BEANS,1329
491,2020-07-28,none,beans,2936
492,2020-10-19,none,BEANS,3455
492,2021-02-25,none,BEANS,710
494,2021-05-15,mukono,BEANS,3026
495,2021-04-03,nakasero,maize,3674
496,2020-07-08,bwaise,BEANS,-2000
497,2021-03-04,nakasero,maize,1292
498,2020-10-04,kansanga,MAIZE,3671
499,2020-10-01,kansanga,MAIZE,1146
500,2020-01-18,none,MAIZE,4178
501,2021-05-12,bwaise,MAIZE,3968
502,2020-04-13,bwaise,beans,1048
503,2020-10-09,nakasero,beans,601
504,2020-09-24,kansanga,maize,1714
505,2021-05-08,mukono,maize,1327
506,2021-03-26,nakasero,BEANS,4477
507,2020-03-29,nakasero,BEANS,3790
508,2020-06-18,bwaise,maize,2700
509,2020-14-50,nakasero,beans,4527
510,2021-05-12,bwaise,MAIZE,4129
511,2021-01-08,kansanga,maize,2231
512,2020-09-05,none,beans,4721
513,2020-12-29,none,BEANS,4794
514,2020-14-50,bwaise,MAIZE,2543
515,2020-07-03,bwaise,beans,4302
516,2020-03-04,mukono,MAIZE,4154
517,2020-10-27,none,beans,2618
518,2020-05-25,mukono,BEANS,-2000
519,2020-04-19,bwaise,MAIZE,2704
520,2021-03-18,mukono,BEANS,1918
521,2020-14-50,nakasero,beans,2755
522,2020-06-27,kansanga,beans,2975
523,2020-07-22,none,maize,-2000
524,2021-03-05,nakasero,beans,1385
525,2020-05-21,nakasero,beans,2947
526,2020-05-03,mukono,BEANS,1646
527,2020-05-31,nakasero,BEANS,789
528,2021-02-21,bwaise,beans,2321
529,2020-08-31,nakasero,beans,1983
530,2021-01-14,nakasero,MAIZE,3249
531,2020-04-24,nakasero,BEANS,3214
532,2020-08-25,mukono,BEANS,1083
533,2020-03-02,kansanga,beans,1735
534,2020-07-28,none,BEANS,1977
535,2020-11-19,bwaise,beans,538
536,2021-01-31,bwaise,MAIZE,1221
537,2020-08-07,kansanga,BEANS,3640
537,2021-01-09,nakasero,maize,4850
539,2020-11-16,bwaise,MAIZE,3320
540,2020-09-14,none,beans,874
541,2021-01-07,none,beans,1596
542,2020-07-02,bwaise,MAIZE,3804
542,2020-03-08,bwaise,maize,1884
544,2021-02-09,mukono,BEANS,2595
545,2020-10-31,mukono,maize,661
546,2020-08-15,kansanga,maize,4386
547,2020-12-17,mukono,beans,1327
548,2020-11-06,bwaise,BEANS,1359
549,2020-05-24,mukono,maize,2136
550,2021-05-13,bwaise,beans,2919
551,2021-04-11,bwaise,BEANS,522
551,2020-02-26,none,BEANS,1237
553,2021-01-05,mukono,beans,4241
554,2020-08-25,mukono,maize,823
555,2020-12-12,nakasero,BEANS,1278
556,2020-01-05,bwaise,MAIZE,4085
557,2021-01-10,mukono,beans,1998
558,2020-08-21,nakasero,BEANS,4417
559,2021-02-12,bwaise,maize,980
560,2020-02-23,kansanga,BEANS,4089
561,2020-07-02,none,maize,1570
562,2021-03-30,kansanga,BEANS,-2000
563,2020-12-26,none,MAIZE,3271
564,2020-11-12,mukono,BEANS,2536
565,2020-11-24,kansanga,MAIZE,947
565,2020-09-15,kansanga,BEANS,1113
567,2020-06-18,nakasero,maize,3601
568,2020-08-23,kansanga,BEANS,4583
569,2020-09-11,mukono,maize,793
570,2020-14-50,mukono,beans,2194
571,2020-06-23,nakasero,maize,4222
572,2020-11-03,kansanga,beans,1434
573,2020-01-02,nakasero,beans,2891
574,2020-02-24,mukono,MAIZE,3852
575,2020-04-06,mukono,BEANS,2061
576,2020-07-31,mukono,maize,4190
577,2020-09-15,bwaise,BEANS,-2000
578,2020-08-09,none,BEANS,1951
579,2021-02-21,bwaise,maize,3136
580,2020-11-07,bwaise,beans,3308
581,2020-03-09,bwaise,BEANS,4696
582,2021-03-16,nakasero,MAIZE,2880
583,2020-03-08,bwaise,beans,3385
584,2021-04-27,kansanga,beans,3960
585,2020-01-13,kansanga,MAIZE,963
586,2020-03-23,nakasero,beans,1008
587,2021-01-20,none,maize,4207
588,2021-01-13,none,MAIZE,3685
589,2021-02-12,nakasero,maize,3674
590,2020-12-16,nakasero,maize,-2000
591,2021-02-03,kansanga,MAIZE,3512
592,2020-11-04,bwaise,MAIZE,1953
593,2021-05-07,bwaise,maize,4010
594,2020-03-23,none,beans,-2000
595,2020-01-21,bwaise,beans,2967
596,2020-07-02,mukono,beans,2006
597,2020-03-22,kansanga,BEANS,2312
598,2020-06-18,nakasero,beans,4845
599,2021-01-20,mukono,maize,4150
600,2021-04-15,none,MAIZE,3129
601,2020-02-28,kansanga,beans,2816
602,2021-01-29,nakasero,BEANS,2928
603,2020-09-20,mukono,maize,4907
604,2020-04-17,bwaise,BEANS,2184
605,2021-05-14,kansanga,maize,1759
606,2020-01-20,mukono,maize,2563
607,2020-04-26,nakasero,BEANS,3813
608,2020-14-50,mukono,maize,1018
609,2020-12-24,mukono,beans,1369
610,2020-11-06,mukono,beans,4085
611,2020-01-16,kansanga,MAIZE,1617
612,2021-03-10,none,beans,1680
613,2021-05-09,nakasero,maize,1658
614,2020-14-50,none,BEANS,1197
615,2021-04-07,nakasero,MAIZE,4698
616,2020-11-11,nakasero,MAIZE,945
617,2020-10-08,kansanga,maize,1051
618,2020-10-24,kansanga,beans,2421
619,2021-04-05,bwaise,beans,3189
620,2020-10-26,bwaise,beans,4008
621,2021-02-06,bwaise,BEANS,3444
622,2021-03-25,kansanga,BEANS,3002
623,2020-11-26,none,maize,1646
624,2021-01-10,mukono,maize,4654
625,2020-10-23,kansanga,MAIZE,2634
626,2020-08-29,bwaise,beans,2883
627,2020-02-16,kansanga,beans,2456
628,2020-11-10,bwaise,MAIZE,1967
629,2021-03-22,bwaise,BEANS,831
630,2020-02-02,nakasero,beans,2193
631,2020-07-17,kansanga,BEANS,826
632,2020-12-26,none,beans,2657
633,2020-07-11,kansanga,beans,1137
634,2021-04-09,bwaise,BEANS,3326
635,2020-11-05,mukono,MAIZE,2384
636,2020-04-18,bwaise,MAIZE,1469
637,2020-06-18,mukono,BEANS,4424
638,2021-03-02,kansanga,maize,1547
639,2020-11-18,none,maize,1703
640,2020-04-02,none,BEANS,652
641,2021-02-24,nakasero,maize,4361
642,2021-03-01,kansanga,MAIZE,1989
643,2020-03-26,nakasero,BEANS,1063
644,2020-02-25,mukono,MAIZE,4631
645,2020-11-06,mukono,MAIZE,819
646,2021-01-20,mukono,maize,1567
647,2020-01-01,kansanga,BEANS,855
648,2021-04-25,kansanga,BEANS,1300
649,2021-01-27,bwaise,maize,4954
650,2020-12-29,mukono,maize,3572
651,2020-06-10,kansanga,beans,3990
652,2021-03-13,none,BEANS,2757
653,2020-04-14,kansanga,BEANS,4462
654,2020-06-25,kansanga,MAIZE,1475
655,2020-12-24,bwaise,maize,3781
656,2020-11-10,mukono,MAIZE,543
657,2020-08-29,none,BEANS,2655
658,2020-01-20,kansanga,BEANS,4768
659,2020-01-30,bwaise,BEANS,2152
660,2020-09-22,nakasero,MAIZE,-2000
661,2020-04-28,none,MAIZE,3446
662,2020-14-50,bwaise,maize,3772
663,2020-10-27,bwaise,maize,1062
664,2021-01-06,none,beans,2765
665,2020-08-20,kansanga,maize,3835
666,2020-09-14,nakasero,beans,4704
667,2021-02-20,none,beans,3589
668,2021-01-22,nakasero,BEANS,724
669,2020-07-14,bwaise,MAIZE,3878
670,2020-01-05,nakasero,MAIZE,3768
671,2020-02-08,none,MAIZE,3396
672,2020-04-03,bwaise,BEANS,2423
673,2020-04-15,bwaise,MAIZE,3416
674,2021-04-16,mukono,BEANS,4935
675,2020-07-09,none,beans,2750
676,2021-04-13,none,beans,1550
677,2020-09-01,none,maize,3725
678,2020-08-22,mukono,BEANS,568
678,2020-10-24,mukono,beans,2627
680,2020-05-17,kansanga,beans,4585
681,2021-01-20,nakasero,beans,2790
682,2020-10-21,bwaise,maize,2431
